quote_date,item_id,p_mean,p_75,p_median,p_25,date,dateStata,itemName
201901,220322,2.948409,3.3,2.8,2.4,372,01/01/2019,Burger
201901,220318,7.444545,8.46,6.95,6.45,372,01/01/2019,Indian
201902,220322,2.957197,3.3,2.8,2.4,373,01/02/2019,Burger
201902,220318,7.600081,8.46,7.15,6.5,373,01/02/2019,Indian
201903,220322,3.021288,3.3,2.8,2.4,374,01/03/2019,Burger
201903,220318,7.635703,8.5,7.15,6.45,374,01/03/2019,Indian
201904,220322,3.025564,3.3,2.8,2.4,375,01/04/2019,Burger
201904,220318,7.654538,8.5,7.15,6.45,375,01/04/2019,Indian
201905,220318,7.622066,8.5,7.15,6.5,376,01/05/2019,Indian
201905,220322,3.085985,3.3,2.9,2.475,376,01/05/2019,Burger
201906,220318,7.64216,8.5,7.15,6.45,377,01/06/2019,Indian
201906,220322,3.112105,3.4,2.9,2.5,377,01/06/2019,Burger
201907,220318,7.64562,8.5,7.16,6.45,378,01/07/2019,Indian
201907,220322,3.136336,3.49,2.9,2.5,378,01/07/2019,Burger
201908,220318,7.788276,8.875,7.25,6.5,379,01/08/2019,Indian
201908,220322,3.112727,3.5,2.9,2.475,379,01/08/2019,Burger
201909,220322,3.118864,3.5,2.9,2.45,380,01/09/2019,Burger
201909,220318,7.739832,8.9,7.16,6.5,380,01/09/2019,Indian
201910,220318,7.716363,8.5,7.16,6.5,381,01/10/2019,Indian
201910,220322,3.141765,3.5,2.925,2.5,381,01/10/2019,Burger
201911,220322,3.164436,3.5,2.95,2.5,382,01/11/2019,Burger
201911,220318,7.769339,8.9,7.25,6.5,382,01/11/2019,Indian
201912,220318,7.80758,8.924999,7.3,6.5,383,01/12/2019,Indian
201912,220322,3.164701,3.5,2.97,2.5,383,01/12/2019,Burger
202001,220322,3.056147,3.4,2.9,2.5,384,01/01/2020,Burger
202001,220318,7.819748,8.5,7.32,6.5,384,01/01/2020,Indian
202002,220318,7.922,8.95,7.5,6.5,385,01/02/2020,Indian
202003,220318,7.914833,8.95,7.5,6.5,386,01/03/2020,Indian
202004,220318,8.295349,9.5,7.95,6.95,387,01/04/2020,Indian
202005,220318,8.159899,8.95,7.95,6.95,388,01/05/2020,Indian
202006,220318,7.894259,8.95,7.75,6.75,389,01/06/2020,Indian
202007,220318,8.10181,8.95,7.75,6.75,390,01/07/2020,Indian
202008,220318,7.957885,8.95,7.5,6.5,391,01/08/2020,Indian
202009,220318,8.085566,8.95,7.79,6.5,392,01/09/2020,Indian
202010,220318,8.143271,9,7.795,6.5,393,01/10/2020,Indian
202011,220318,8.095886,8.95,7.875,6.75,394,01/11/2020,Indian
202012,220318,8.246469,8.95,7.95,6.75,395,01/12/2020,Indian
202101,220318,8.158072,8.95,7.795,6.75,396,01/01/2021,Indian
202102,220318,8.158172,8.95,7.75,6.75,397,01/02/2021,Indian
202103,220318,8.121255,8.95,7.77,6.75,398,01/03/2021,Indian
202104,220318,8.2175,8.95,7.795,6.75,399,01/04/2021,Indian
202105,220318,8.259325,8.95,7.95,6.825,400,01/05/2021,Indian
202106,220318,8.274232,8.95,7.95,6.9,401,01/06/2021,Indian
202107,220318,8.273015,8.95,7.95,6.9,402,01/07/2021,Indian
202108,220318,8.264669,8.95,7.85,6.775,403,01/08/2021,Indian
202109,220318,8.343881,8.95,7.95,6.79,404,01/09/2021,Indian
202110,220318,8.37656,9.41,7.9,6.9,405,01/10/2021,Indian
202111,220318,8.40016,8.95,7.9,6.95,406,01/11/2021,Indian
202112,220318,8.442598,9.5,7.95,6.9,407,01/12/2021,Indian
202201,220318,8.46032,9.5,7.95,6.95,408,01/01/2022,Indian
202202,220318,8.518699,9.5,7.95,6.9,409,01/02/2022,Indian
202203,220318,8.615499,9.879999,7.95,6.925,410,01/03/2022,Indian
202204,220318,8.629113,9.879999,8,6.95,411,01/04/2022,Indian
202205,220318,8.780813,9.95,8.45,6.95,412,01/05/2022,Indian
202206,220318,8.955646,9.924999,8.5,7.225,413,01/06/2022,Indian
202207,220318,8.981131,9.95,8.5,7.15,414,01/07/2022,Indian
202208,220318,9.152844,9.95,8.530001,7.375,415,01/08/2022,Indian
202209,220318,9.261982,9.95,8.75,7.5,416,01/09/2022,Indian
202210,220318,9.212679,9.95,8.95,7.5,417,01/10/2022,Indian
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,