Country,2021.00,Points
Albania,14559.68,0.754
Algeria,10969.25,1.649
Angola,6344.15,1.522
Antigua and Barbuda,17946.51,1.109
Argentina,21511.59,1.961
Armenia,13345.27,0.778
Aruba,37998.95,0.8
Azerbaijan,14473.40,0.545
The Bahamas,31654.63,0.889
Bahrain,48592.83,1.385
Bangladesh,6411.43,0.655
Barbados,13349.44,0.951
Belarus,19743.00,0.818
Belize,8062.77,1.034
Benin,3457.17,1.12
Bhutan,10790.92,0.75
Bolivia,8242.89,0.958
Bosnia and Herzegovina,14813.49,1.53
Botswana,16001.59,1
Brazil,14710.22,2.197
Brunei Darussalam,62276.62,0.375
Bulgaria,23712.90,1.569
Burkina Faso,2241.66,1.515
Burundi,733.16,1.182
Cabo Verde,6995.33,1.325
Cambodia,4559.47,0.444
Cameroon,3707.70,2.032
Central African Republic,929.35,0.5
Chad,1454.88,1.111
Chile,24311.60,1.409
China,17531.14,1.897
Colombia,14931.36,1.412
Comoros,2878.32,0.4
Democratic Republic of the Congo,1097.80,1.631
Republic of Congo,3909.88,1.162
Costa Rica,20536.95,1.743
Côte d'Ivoire,5286.96,1.917
Croatia,29928.05,2.069
Djibouti,5419.97,0.381
Dominica,10497.05,0.708
Dominican Republic,19645.65,1.273
Ecuador,10693.41,1.242
Egypt,12976.29,1.901
El Salvador,8800.42,1.519
Equatorial Guinea,16099.64,1.036
Eritrea,1750.43,0.3
Eswatini,9271.23,0.81
Ethiopia,2855.35,0.959
Fiji,10587.40,1.304
Gabon,15149.41,1.286
The Gambia,2199.80,0.923
Georgia,15388.76,0.781
Ghana,5684.34,1.725
Grenada,15205.62,0.931
Guatemala,8327.88,1.492
Guinea,2492.05,1.469
Guinea-Bissau,2386.97,0.95
Guyana,23041.05,0.789
Haiti,2759.66,1.505
Honduras,5661.24,1.53
Hungary,33862.59,1.644
India,6659.01,0.941
Indonesia,11923.69,0.937
Islamic Republic of Iran,15549.76,2.13
Iraq,9901.60,1.63
Jamaica,9899.30,1.263
Jordan,9968.81,1.436
Kazakhstan,25864.09,0.735
Kenya,5049.85,1.23
Kosovo,11864.06,0.333
Kuwait,40969.13,1.703
Kyrgyz Republic,4822.65,1.282
Lao P.D.R.,7726.94,0.464
Lesotho,2549.88,0.615
Liberia,1398.51,1
Libya,19960.96,1.339
Madagascar,1500.42,1.143
Malawi,1375.23,0.985
Malaysia,27036.72,1.188
Maldives,24546.30,0.75
Mali,2227.08,1.458
Marshall Islands,3710.19,0.188
Mauritania,5784.13,0.5
Mauritius,20278.93,0.3
Mexico,18837.56,2.138
Moldova,13758.02,0.412
Mongolia,11455.74,0.792
Montenegro,20650.59,1.3
Morocco,8353.36,1.79
Mozambique,1226.77,1
Myanmar,4050.70,0.773
Namibia,9065.87,0.94
Nepal,3880.90,0.579
Nicaragua,5907.13,1.12
Niger,1192.69,1.083
Nigeria,4969.21,1.946
North Macedonia,16371.85,1.042
Oman,34258.48,1.568
Pakistan,5449.35,0.125
Panama,29130.71,1.228
Papua New Guinea,3569.29,1.269
Paraguay,12490.78,1.419
Peru,12764.30,1.137
Philippines,8365.03,0.897
Poland,34586.93,1.75
Qatar,95340.30,1.617
Romania,30890.70,1.775
Russia,28104.88,2.112
Rwanda,2326.00,0.773
Samoa,5296.74,1
Saudi Arabia,44954.01,2.022
Senegal,3429.06,1.676
Serbia,19695.03,2.029
Seychelles,29116.81,0.125
Sierra Leone,1670.09,0.957
Solomon Islands,2123.89,1.368
Somalia,1132.93,0.462
South Africa,13145.76,1.875
South Sudan,766.99,0.5
Sri Lanka,13386.68,0.462
St. Kitts and Nevis,21715.70,1.389
St. Lucia,12870.91,0.917
St. Vincent and the Grenadines,12790.36,0.855
Sudan,3891.41,0.958
Suriname,14726.31,1.159
Tajikistan,3940.68,1.341
Tanzania,2826.38,1
Thailand,17479.92,1.021
Timor-Leste,3880.41,0
Togo,2163.58,1.254
Tonga,5768.54,1
Trinidad and Tobago,24465.91,1.418
Tunisia,10481.46,1.929
Türkiye,31752.91,1.338
Turkmenistan,16082.94,1.413
Tuvalu,4840.27,0.25
Uganda,2530.62,1.312
Ukraine,13039.97,1.775
United Arab Emirates,64697.99,1.517
Uruguay,22058.27,1.61
Uzbekistan,7814.55,1.775
Vanuatu,2469.95,1.054
Venezuela,5558.47,0.696
Vietnam,10479.70,0.966
Yemen,1818.16,0.897
Zambia,3239.65,1.588
Zimbabwe,2151.97,1.217