Country,2021,Points
Albania,"14,559.68",0.754
Algeria,"10,969.25",1.649
Angola,"6,344.15",1.522
Antigua and Barbuda,"17,946.51",1.109
Argentina,"21,511.59",1.961
Armenia,"13,345.27",0.778
Aruba,"37,998.95",0.8
Azerbaijan,"14,473.40",0.545
The Bahamas,"31,654.63",0.889
Bahrain,"48,592.83",1.385
Bangladesh,"6,411.43",0.655
Barbados,"13,349.44",0.951
Belarus,"19,743.00",0.818
Belize,"8,062.77",1.034
Benin,"3,457.17",1.12
Bhutan,"10,790.92",0.75
Bolivia,"8,242.89",0.958
Bosnia and Herzegovina,"14,813.49",1.53
Botswana,"16,001.59",1
Brazil,"14,710.22",2.197
Brunei Darussalam,"62,276.62",0.375
Bulgaria,"23,712.90",1.569
Burkina Faso,"2,241.66",1.515
Burundi,733.16,1.182
Cabo Verde,"6,995.33",1.325
Cambodia,"4,559.47",0.444
Cameroon,"3,707.70",2.032
Central African Republic,929.353,0.5
Chad,"1,454.88",1.111
Chile,"24,311.60",1.409
China,"17,531.14",1.897
Colombia,"14,931.36",1.412
Comoros,"2,878.32",0.4
Democratic Republic of the Congo,"1,097.80",1.631
Republic of Congo,"3,909.88",1.162
Costa Rica,"20,536.95",1.743
Côte d'Ivoire,"5,286.96",1.917
Croatia,"29,928.05",2.069
Djibouti,"5,419.97",0.381
Dominica,"10,497.05",0.708
Dominican Republic,"19,645.65",1.273
Ecuador,"10,693.41",1.242
Egypt,"12,976.29",1.901
El Salvador,"8,800.42",1.519
Equatorial Guinea,"16,099.64",1.036
Eritrea,"1,750.43",0.3
Eswatini,"9,271.23",0.81
Ethiopia,"2,855.35",0.959
Fiji,"10,587.40",1.304
Gabon,"15,149.41",1.286
The Gambia,"2,199.80",0.923
Georgia,"15,388.76",0.781
Ghana,"5,684.34",1.725
Grenada,"15,205.62",0.931
Guatemala,"8,327.88",1.492
Guinea,"2,492.05",1.469
Guinea-Bissau,"2,386.97",0.95
Guyana,"23,041.05",0.789
Haiti,"2,759.66",1.505
Honduras,"5,661.24",1.53
Hungary,"33,862.59",1.644
India,"6,659.01",0.941
Indonesia,"11,923.69",0.937
Islamic Republic of Iran,"15,549.76",2.13
Iraq,"9,901.60",1.63
Jamaica,"9,899.30",1.263
Jordan,"9,968.81",1.436
Kazakhstan,"25,864.09",0.735
Kenya,"5,049.85",1.23
Kosovo,"11,864.06",0.333
Kuwait,"40,969.13",1.703
Kyrgyz Republic,"4,822.65",1.282
Lao P.D.R.,"7,726.94",0.464
Lesotho,"2,549.88",0.615
Liberia,"1,398.51",1
Libya,"19,960.96",1.339
Madagascar,"1,500.42",1.143
Malawi,"1,375.23",0.985
Malaysia,"27,036.72",1.188
Maldives,"24,546.30",0.75
Mali,"2,227.08",1.458
Marshall Islands,"3,710.19",0.188
Mauritania,"5,784.13",0.5
Mauritius,"20,278.93",0.3
Mexico,"18,837.56",2.138
Moldova,"13,758.02",0.412
Mongolia,"11,455.74",0.792
Montenegro,"20,650.59",1.3
Morocco,"8,353.36",1.79
Mozambique,"1,226.77",1
Myanmar,"4,050.70",0.773
Namibia,"9,065.87",0.94
Nepal,"3,880.90",0.579
Nicaragua,"5,907.13",1.12
Niger,"1,192.69",1.083
Nigeria,"4,969.21",1.946
North Macedonia,"16,371.85",1.042
Oman,"34,258.48",1.568
Pakistan,"5,449.35",0.125
Panama,"29,130.71",1.228
Papua New Guinea,"3,569.29",1.269
Paraguay,"12,490.78",1.419
Peru,"12,764.30",1.137
Philippines,"8,365.03",0.897
Poland,"34,586.93",1.75
Qatar,"95,340.30",1.617
Romania,"30,890.70",1.775
Russia,"28,104.88",2.112
Rwanda,"2,326.00",0.773
Samoa,"5,296.74",1
Saudi Arabia,"44,954.01",2.022
Senegal,"3,429.06",1.676
Serbia,"19,695.03",2.029
Seychelles,"29,116.81",0.125
Sierra Leone,"1,670.09",0.957
Solomon Islands,"2,123.89",1.368
Somalia,"1,132.93",0.462
South Africa,"13,145.76",1.875
South Sudan,766.992,0.5
Sri Lanka,"13,386.68",0.462
St. Kitts and Nevis,"21,715.70",1.389
St. Lucia,"12,870.91",0.917
St. Vincent and the Grenadines,"12,790.36",0.855
Sudan,"3,891.41",0.958
Suriname,"14,726.31",1.159
Tajikistan,"3,940.68",1.341
Tanzania,"2,826.38",1
Thailand,"17,479.92",1.021
Timor-Leste,"3,880.41",0
Togo,"2,163.58",1.254
Tonga,"5,768.54",1
Trinidad and Tobago,"24,465.91",1.418
Tunisia,"10,481.46",1.929
Türkiye,"31,752.91",1.338
Turkmenistan,"16,082.94",1.413
Tuvalu,"4,840.27",0.25
Uganda,"2,530.62",1.312
Ukraine,"13,039.97",1.775
United Arab Emirates,"64,697.99",1.517
Uruguay,"22,058.27",1.61
Uzbekistan,"7,814.55",1.775
Vanuatu,"2,469.95",1.054
Venezuela,"5,558.47",0.696
Vietnam,"10,479.70",0.966
Yemen,"1,818.16",0.897
Zambia,"3,239.65",1.588
Zimbabwe,"2,151.97",1.217