Country,exp_gdp,pts
Albania,31.552,0.754
Algeria,37.128,1.649
Samoa,34.776,0.556
Andorra,39.15,0.242
Angola,19.394,1.522
Antigua and Barbuda,25.32,1.109
Argentina,37.832,1.961
Armenia,28.703,0.778
Aruba,29.369,0.8
Australia,42.318,2.019
Austria,55.979,1.649
Azerbaijan,32.418,0.545
The Bahamas,32.958,0.889
Bahrain,32.18,1.385
Bangladesh,12.967,0.655
Barbados,33.745,0.951
Belarus,37.063,0.818
Belgium,54.912,1.957
Belize,24.991,1.034
Benin,19.855,1.12
Bhutan,33.03,0.75
Bolivia,34.398,0.958
Bosnia and Herzegovina,40.169,1.53
Botswana,34.004,1
Brazil,35.942,2.197
Brunei Darussalam,29.136,0.375
Bulgaria,40.42,1.569
Burkina Faso,27.373,1.515
Burundi,27.865,1.182
Cabo Verde,29.928,1.325
Cambodia,28.078,0.444
Cameroon,16.523,2.032
Canada,46.001,1.635
Central African Republic,19.686,0.5
Chad,18.427,1.111
Chile,33.466,1.409
China,32.713,1.897
Colombia,34.513,0.333
Comoros,19.768,1.412
Democratic Republic of the Congo,14.8,0.4
Republic of Congo,22.171,1.631
Costa Rica,20.95,1.743
Côte d'Ivoire,20.859,1.917
Croatia,49.248,2.069
Cyprus,44.096,0.508
Czech Republic,46.482,1.823
Denmark,50.81,1.75
Djibouti,23.471,0.381
Dominica,54.289,0.708
Dominican Republic,18.479,1.273
Ecuador,35.51,1.242
Egypt,25.965,1.901
El Salvador,32.016,1.519
,,2.287
Equatorial Guinea,12.659,1.036
Eritrea,37.573,0.3
Estonia,41.28,0.75
Eswatini,29.809,0.81
Ethiopia,13.798,0.959
Fiji,34.236,1.304
Finland,55.308,0.949
France,59.052,1.983
Gabon,16.583,1.286
The Gambia,21.436,0.923
Georgia,31.444,0.781
Germany,51.253,2.567
Ghana,25.681,1.725
Greece,56.871,1.478
Grenada,31.455,0.931
Guatemala,13.543,1.492
Guinea,15.385,1.469
Guinea-Bissau,25.034,0.95
Guyana,25.873,0.789
Haiti,10.838,1.505
Honduras,28.424,1.53
Hong Kong SAR,23.702,1.086
Hungary,47.919,1.644
Iceland,49.234,0.966
India,30.137,0.941
Indonesia,18.212,0.937
Islamic Republic of Iran,12.378,2.13
Iraq,36.052,1.63
Ireland,24.821,1.477
Israel,40.388,1.288
Italy,55.45,2.237
Jamaica,29.503,1.263
Japan,42.52,2
Jordan,33.35,1.436
Kazakhstan,22.07,0.735
Kenya,24.835,1.23
Korea,25.845,2.126
Kosovo,30.19,0.333
Kuwait,52.401,1.703
Kyrgyz Republic,34.36,1.282
Lao P.D.R.,17.309,0.464
Latvia,43.815,0.953
Lesotho,52.378,0.615
Liberia,29.697,1
Libya,48.712,1.339
Lithuania,37.789,0.864
Luxembourg,42.304,0.239
Macao SAR,46.266,0.378
Madagascar,14.111,1.143
Malawi,24.585,0.985
Malaysia,23.76,1.188
Maldives,40.909,0.75
Mali,27.144,1.458
Malta,45.057,0.188
Mauritania,19.172,0.5
Mauritius,29.837,0.3
Mexico,27.073,2.138
Moldova,34.611,0.412
Mongolia,35.869,0.792
Montenegro,44.829,1.3
Morocco,30.123,1.79
Mozambique,31.269,1
Myanmar,21.941,0.773
Namibia,39.8,0.94
Nepal,27.728,0.579
Netherlands,46.581,2.17
New Zealand,42.409,1.882
Nicaragua,30.635,1.12
Niger,24.203,1.083
Nigeria,13.297,1.946
North Macedonia,35.574,1.042
Norway,48.185,1.324
Oman,37.134,1.568
Pakistan,18.472,0.125
Panama,24.829,1.228
Papua New Guinea,21.281,1.269
Paraguay,25.309,1.419
Peru,23.551,1.137
Philippines,26.817,0.897
Poland,44.2,1.75
Portugal,48.148,1.906
Puerto Rico,20.825,0.966
Qatar,29.377,1.617
Romania,37.51,1.775
Russia,35.929,2.112
Rwanda,31.56,0.773
Samoa,34.776,1.077
San Marino,39.181,0.026
Saudi Arabia,33.238,2.022
Senegal,25.739,1.676
St. Kitts and Nevis,35.125,1.389
St. Lucia,30.204,0.917
Serbia,46.572,2.029
Seychelles,39.825,0.125
St. Vincent and the Grenadines,37.494,0.855
Sierra Leone,28.254,0.957
Singapore,18.605,0.974
Slovak Republic,46.833,1.676
Slovenia,48.934,1.444
Solomon Islands,36.92,1.368
Somalia,6.033,0.462
South Africa,32.976,1.875
South Sudan,38.738,0.5
Spain,50.601,2.296
Sri Lanka,19.913,0.462
Sudan,9.646,0.958
Suriname,34.756,1.159
Sweden,49.857,1.979
Switzerland,35.038,1.721
Syria,n/a,1.52
Taiwan Province of China,16.15,1.311
Tajikistan,28.236,1.341
Tanzania,17.515,1
Thailand,27.252,1.021
Timor-Leste,69.335,0
Togo,22.952,1.254
Tonga,49.288,1
Trinidad and Tobago,32.196,1.418
Tunisia,33.184,1.929
Türkiye,31.198,1.338
Turkmenistan,10.748,1.413
Tuvalu,94.723,0.25
Uganda,21.806,1.312
Ukraine,40.266,1.775
United Arab Emirates,28.896,1.517
United States,42.364,1.738
Uruguay,30.918,1.61
Uzbekistan,30.631,1.775
Vanuatu,44.114,1.054
Venezuela,10.547,0.696
Vietnam,22.086,0.966
Yemen,9.288,0.897
Zambia,31.624,1.588
Zimbabwe,19.147,1.217