p_mean,p_75,p_median,p_25,dateStata,itemName
15.82487,17.86,16.5,13.93,2021-01-01,White fish fillets
15.88739,17.95,16.35,13.54,2021-02-01,White fish fillets
16.13844,18.75,16.67,13.93,2021-03-01,White fish fillets
16.27527,18.75,16.67,13.93,2021-04-01,White fish fillets
15.80238,18.75,16.35,12.27,2021-05-01,White fish fillets
16.05554,18.75,16.67,12.27,2021-06-01,White fish fillets
15.98558,18.06,16.6,12.27,2021-07-01,White fish fillets
16.20185,18.75,16.67,12.27,2021-08-01,White fish fillets
16.12878,18.75,16.6,12.27,2021-09-01,White fish fillets
16.20835,18.75,16.67,12.27,2021-10-01,White fish fillets
16.33677,18.75,16.6,11.85,2021-11-01,White fish fillets
16.49202,18.75,16.6,12.27,2021-12-01,White fish fillets
16.3575,18.75,16.635,11.75,2022-01-01,White fish fillets
16.51851,18.75,16.51,13.93,2022-02-01,White fish fillets
16.70789,18.75,16.67,13.93,2022-03-01,White fish fillets
16.87935,18.75,16.67,14,2022-04-01,White fish fillets
16.95536,19.79,16.67,14,2022-05-01,White fish fillets
17.30902,20.63,17.39,14.29,2022-06-01,White fish fillets
17.71662,20.63,17.71,14.81,2022-07-01,White fish fillets
17.72561,20.63,17.71,14.905,2022-08-01,White fish fillets
17.77078,20.63,18.2,14.81,2022-09-01,White fish fillets
17.7836,19.05,17.32,15,2022-10-01,White fish fillets