p_mean,p_75,p_median,p_25,dateStata,year
6.960196,7.8,7,6,2021-01-01,2021
6.925598,7.9,6.9,6,2021-02-01,2021
7.014179,7.9,7,6,2021-03-01,2021
7.044795,7.9,7,6,2021-04-01,2021
7.035248,7.9,7,6.2,2021-05-01,2021
6.974748,7.9,6.9,6,2021-06-01,2021
6.984606,7.9,6.9,6,2021-07-01,2021
7.017817,7.9,7,6,2021-08-01,2021
7.069113,7.925,7.075,6,2021-09-01,2021
7.144,7.9,7.1,6,2021-10-01,2021
7.214762,8,7.3,6.25,2021-11-01,2021
7.319692,8.2,7.4,6.3,2021-12-01,2021
7.377381,8.4,7.445,6.35,2022-01-01,2022
7.444095,8.5,7.5,6.35,2022-02-01,2022
7.527907,8.5,7.5,6.35,2022-03-01,2022
7.90672,9.1,7.9,6.8,2022-04-01,2022
8.109445,9.2,8,6.9,2022-05-01,2022
8.22912,9.3,8.19,7,2022-06-01,2022
8.34368,9.5,8.4,7.3,2022-07-01,2022
8.500417,9.5,8.495,7.55,2022-08-01,2022
8.570168,9.5,8.6,7.6,2022-09-01,2022
8.746526,9.6,8.9,7.9,2022-10-01,2022