,apps,gdppc,,
Brazil,22,14916,,
Algeria,4,11112,,
Angola,1,6932,,
Argentina,18,20751,,
Australia,6,51680,,
Austria,7,55218,,
Belgium,14,51096,,
Bolivia,3,8344,,
Bosnia and Herzegovina,1,15047,,
Bulgaria,7,23817,,
Cameroon,8,3646,,
Canada,2,48720,,
Chile,9,23366,,
China,1,17192,,
Colombia,6,14324,,
Costa Rica,6,19990,,
Croatia,6,27717,,
Cuba,1,9477,,
Czech Republic,9,40618,,
Denmark,6,58932,,
DR Congo,1,1106,,
Ecuador,4,11009,,
Egypt,3,12790,,
El Salvador,2,8422,,
England,16,41900,,
France,16,46062,,
Germany,20,54076,,
Ghana,4,5693,,
Greece,3,28748,,
Haiti,1,2916,,
Honduras,3,5450,,
Hungary,9,33030,,
Iceland,1,55596,,
Indonesia,1,12222,,
Iran,6,13073,,
Iraq,1,10003,,
Israel,1,40547,,
Italy,18,40861,,
Ivory Coast,3,5365,,
Jamaica,1,9975,,
Japan,7,42248,,
Kuwait,1,41627,,
Mexico,17,19130,,
Morocco,6,7620,,
Netherlands,11,57534,,
New Zealand,2,42018,,
Nigeria,6,5187,,
North Korea,2,34757,,
Northern Ireland,3,24900,,
Norway,3,65800,,
Panama,1,27003,,
Paraguay,8,12881,,
Peru,5,11871,,
Poland,9,34103,,
Portugal,8,34043,,
Qatar,1,93508,,
Republic of Ireland,3,99152,,
Romania,7,30526,,
Russia,11,27903,,
Saudi Arabia,6,46811,,
Scotland,8,37460,,
Senegal,3,3478,,
Serbia,13,19146,,
Slovakia,1,32709,,
Slovenia,2,40067,,
South Africa,3,12032,,
South Korea,11,44621,,
Spain,16,39121,,
Sweden,12,54146,,
Switzerland,12,72874,,
Togo,1,2199,,
Trinidad and Tobago,1,25031,,
Tunisia,6,10120,,
Turkey,2,30253,,
Ukraine,1,13110,,
United Arab Emirates,1,58753,,
United States,11,63416,,
Uruguay,14,22459,,
Wales,2,24586,,