itemName,dateStata,Percentage change,Price,Change
Pizza,2021-01-01,0,9.314452,0
Pizza,2021-02-01,-1.231387526,9.199755,-0.012313875
Pizza,2021-03-01,0.178829629,9.331109,0.001788296
Pizza,2021-04-01,0.880438269,9.39646,0.008804383
Pizza,2021-05-01,0.205530073,9.333596,0.002055301
Pizza,2021-06-01,0.095604121,9.323357,0.000956041
Pizza,2021-07-01,-1.054866137,9.216197,-0.010548661
Pizza,2021-08-01,-1.577591468,9.167508,-0.015775915
Pizza,2021-09-01,-2.121477463,9.116848,-0.021214775
Pizza,2021-10-01,-1.135880028,9.208651,-0.0113588
Pizza,2021-11-01,-3.200435195,9.016349,-0.032004352
Pizza,2021-12-01,-0.68279916,9.250853,-0.006827992
Pizza,2022-01-01,-0.449774179,9.272558,-0.004497742
Pizza,2022-02-01,-0.284321611,9.287969,-0.002843216
Pizza,2022-03-01,-0.816226226,9.238425,-0.008162262
Pizza,2022-04-01,1.650145387,9.468154,0.016501454
Pizza,2022-05-01,2.108207761,9.51082,0.021082078
Pizza,2022-06-01,1.506873405,9.454809,0.015068734
Pizza,2022-07-01,2.92665634,9.587054,0.029266563
Pizza,2022-08-01,7.484437437,9.691172,0.074844374
Pizza,2022-09-01,7.115496527,9.657907,0.071154965
Pizza,2022-10-01,9.947252485,9.913228,0.099472525
Fish and chips,2021-01-01,0,6.960196,0
Fish and chips,2021-02-01,-0.497083703,6.925598,-0.004970837
Fish and chips,2021-03-01,0.775595975,7.014179,0.00775596
Fish and chips,2021-04-01,1.215468645,7.044795,0.012154686
Fish and chips,2021-05-01,1.078302967,7.035248,0.01078303
Fish and chips,2021-06-01,0.209074572,6.974748,0.002090746
Fish and chips,2021-07-01,0.350708515,6.984606,0.003507085
Fish and chips,2021-08-01,0.827864618,7.017817,0.008278646
Fish and chips,2021-09-01,1.564855358,7.069113,0.015648554
Fish and chips,2021-10-01,2.640787702,7.144,0.026407877
Fish and chips,2021-11-01,3.657454474,7.214762,0.036574545
Fish and chips,2021-12-01,5.165026962,7.319692,0.05165027
Fish and chips,2022-01-01,5.993868563,7.377381,0.059938686
Fish and chips,2022-02-01,6.952376054,7.444095,0.069523761
Fish and chips,2022-03-01,8.156537546,7.527907,0.081565375
Fish and chips,2022-04-01,13.5990998,7.90672,0.135990998
Fish and chips,2022-05-01,16.51173329,8.109445,0.165117333
Fish and chips,2022-06-01,18.23115326,8.22912,0.182311533
Fish and chips,2022-07-01,19.87708392,8.34368,0.198770839
Fish and chips,2022-08-01,22.1289889,8.500417,0.221289889
Fish and chips,2022-09-01,23.13113022,8.570168,0.231311302
Fish and chips,2022-10-01,25.66493817,8.746526,0.256649382
Chinese,2021-01-01,0,6.057927,0
Chinese,2021-02-01,0.097322604,6.052037,0.000973226
Chinese,2021-03-01,-0.097227979,6.034539,-0.00097228
Chinese,2021-04-01,-0.386072661,6.078638,-0.003860727
Chinese,2021-05-01,0.341882628,6.022107,0.003418826
Chinese,2021-06-01,-0.591291377,6.069551,-0.005912914
Chinese,2021-07-01,0.19188082,6.086408,0.001918808
Chinese,2021-08-01,0.470144325,6.115101,0.004701443
Chinese,2021-09-01,0.943788197,6.141931,0.009437882
Chinese,2021-10-01,1.386678975,6.189154,0.01386679
Chinese,2021-11-01,2.166203059,6.22336,0.021662031
Chinese,2021-12-01,2.730851659,6.24916,0.027308517
Chinese,2022-01-01,3.156739921,6.304154,0.031567399
Chinese,2022-02-01,4.064542211,6.351508,0.040645422
Chinese,2022-03-01,4.846228751,6.41688,0.048462288
Chinese,2022-04-01,5.925343769,6.622698,0.059253438
Chinese,2022-05-01,9.322842616,6.66824,0.093228426
Chinese,2022-06-01,10.07461793,6.750476,0.100746179
Chinese,2022-07-01,11.43211201,6.829048,0.11432112
Chinese,2022-08-01,12.72912335,6.907166,0.127291233
Chinese,2022-09-01,14.01864037,6.881231,0.140186404
Chinese,2022-10-01,13.59052362,6.906667,0.135905236
Indian,2021-01-01,0,8.158072,0
Indian,2021-02-01,0.00122578,8.158172,1.22578E-05
Indian,2021-03-01,-0.451295355,8.121255,-0.004512954
Indian,2021-04-01,0.728456429,8.2175,0.007284564
Indian,2021-05-01,1.241138838,8.259325,0.012411388
Indian,2021-06-01,1.423865835,8.274232,0.014238658
Indian,2021-07-01,1.408948095,8.273015,0.014089481
Indian,2021-08-01,1.306644511,8.264669,0.013066445
Indian,2021-09-01,2.277609219,8.343881,0.022776092
Indian,2021-10-01,2.678181806,8.37656,0.026781818
Indian,2021-11-01,2.967465842,8.40016,0.029674658
Indian,2021-12-01,3.487662281,8.442598,0.034876623
Indian,2022-01-01,3.70489498,8.46032,0.03704895
Indian,2022-02-01,4.420492979,8.518699,0.04420493
Indian,2022-03-01,5.607047842,8.615499,0.056070478
Indian,2022-04-01,5.773925506,8.629113,0.057739255
Indian,2022-05-01,7.633433488,8.780813,0.076334335
Indian,2022-06-01,9.776501114,8.955646,0.097765011
Indian,2022-07-01,10.0888911,8.981131,0.100888911
Indian,2022-08-01,12.1937144,9.152844,0.121937144
Indian,2022-09-01,13.53150597,9.261982,0.13531506
Indian,2022-10-01,12.92715975,9.212679,0.129271598