Team,Appearances
Afghanistan,0
Albania,0
Algeria,4
Andorra,0
Angola,1
Antigua and Barbuda,0
Argentina,18
Armenia,0
Australia,6
Austria,7
Azerbaijan,0
Bahrain,0
Bangladesh,0
Barbados,0
Belarus,0
Belgium,14
Belize,0
Benin,0
Bhutan,0
Bolivia,3
Bosnia and Herzegovina,1
Botswana,0
Brazil,22
Brunei,0
Bulgaria,7
Burkina Faso,0
Burundi,0
Cabo Verde,0
Cambodia,0
Cameroon,8
Canada,2
Central African Rep.,0
Chad,0
Channel Islands,0
Chile,9
China,1
Colombia,6
Comoros,0
Congo,0
Costa Rica,6
Côte d'Ivoire,3
Croatia,6
Cuba,1
Cyprus,0
Czech Republic,9
Denmark,6
Djibouti,0
Dominica,0
Dominican Republic,0
Democratic Republic of the Congo,0
Ecuador,4
Egypt,3
El Salvador,2
Equatorial Guinea,0
Eritrea,0
Estonia,0
Eswatini,0
Ethiopia,0
Faeroe Islands,0
Finland,0
France,16
French Guiana,0
Gabon,0
Gambia,0
Georgia,0
Germany,20
Ghana,4
Gibraltar,0
Greece,3
Greenland,0
Grenada,0
Guatemala,0
Guinea,0
Guinea-Bissau,0
Guyana,0
Haiti,1
Holy See,0
Honduras,3
Hong Kong,0
Hungary,9
Iceland,1
India,0
Indonesia,1
Iran,6
Iraq,1
Ireland,3
Isle of Man,0
Israel,1
Italy,18
Jamaica,1
Japan,7
Jordan,0
Kazakhstan,0
Kenya,0
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,0
Lebanon,0
Lesotho,0
Liberia,0
Libya,0
Liechtenstein,0
Lithuania,0
Luxembourg,0
Macao,0
Madagascar,0
Malawi,0
Malaysia,0
Maldives,0
Mali,0
Malta,0
Mauritania,0
Mauritius,0
Mayotte,0
Mexico,17
Moldova,0
Monaco,0
Mongolia,0
Montenegro,0
Morocco,6
Mozambique,0
Myanmar,0
Namibia,0
Nepal,0
Netherlands,11
New Zealand,2
Nicaragua,0
Niger,0
Nigeria,6
North Korea,2
North Macedonia,0
Norway,3
Oman,0
Pakistan,0
Panama,1
Paraguay,8
Peru,5
Philippines,0
Poland,9
Portugal,8
Qatar,1
Réunion,0
Romania,7
Russia,11
Rwanda,0
Saint Helena,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
San Marino,0
Sao Tome & Principe,0
Saudi Arabia,6
Senegal,3
Serbia,13
Seychelles,0
Sierra Leone,0
Singapore,0
Slovakia,1
Slovenia,2
Somalia,0
South Africa,3
South Korea,11
S. Sudan,0
Spain,16
Sri Lanka,0
State of Palestine,0
Sudan,0
Suriname,0
Sweden,12
Switzerland,12
Syria,0
Taiwan,0
Tajikistan,0
Tanzania,0
Thailand,0
The Bahamas,0
Timor-Leste,0
Togo,1
Trinidad and Tobago,1
Tunisia,6
Turkey,2
Turkmenistan,0
Uganda,0
Ukraine,1
United Arab Emirates,1
England,16
United States,11
Uruguay,14
Uzbekistan,0
Venezuela,0
Vietnam,0
Western Sahara,0
Yemen,0
Zambia,0
Zimbabwe,0
United Kingdom,13