,Country/Economy,GDP
109,Afghanistan,19101
118,Albania,15278
53,Algeria,169988
154,Andorra,3154
63,Angola,94635
163,Antigua and Barbuda,1728
24,Argentina,449663
125,Armenia,13673
179,Aruba,2903
13,Australia,1392680
26,Austria,446315
86,Azerbaijan,48048
129,"Bahamas, The",12827
92,Bahrain,38574
39,Bangladesh,302571
148,Barbados,5209
74,Belarus,63080
23,Belgium,529607
161,Belize,1880
121,Benin,14391
180,Bhutan,2842
89,Bolivia,40895
108,Bosnia and Herzegovina,20048
111,Botswana,18341
8,Brazil,1839760
127,Brunei Darussalam,13469
70,Bulgaria,67927
117,Burkina Faso,15746
156,Burundi,3012
160,Cabo Verde,1982
98,Cambodia,27089
91,Cameroon,38760
9,Canada,1736430
158,Central African Republic,2220
134,Chad,11315
40,Chile,282318
1,China,14342900
37,Colombia,323803
169,Comoros,1186
87,"Congo, Dem. Rep.",47320
136,"Congo, Rep.",10821
75,Costa Rica,61774
77,Cote d'Ivoire,58792
76,Croatia,60416
102,Cyprus,24565
45,Czech Republic,246489
36,Denmark,348078
153,Djibouti,3319
174,Dominica,596
64,Dominican Republic,88941
58,Ecuador,107436
38,"Egypt, Arab Rep.",303175
99,El Salvador,27023
135,Equatorial Guinea,11027
181,Eritrea,2110
96,Estonia,31387
149,Eswatini,4405
61,Ethiopia,96108
145,Fiji,5536
42,Finland,268761
6,France,2715520
115,Gabon,16658
162,"Gambia, The",1764
113,Georgia,17743
3,Germany,3845630
71,Ghana,66984
49,Greece,209853
168,Grenada,1228
67,Guatemala,76710
126,Guinea,13590
167,Guinea-Bissau,1340
150,Guyana,4280
138,Haiti,8499
100,Honduras,25095
33,"Hong Kong SAR, China",366030
54,Hungary,160967
103,Iceland,24188
4,India,2875140
15,Indonesia,1119190
183,"Iran, Islamic Rep.",458500
47,Iraq,234094
30,Ireland,388699
29,Israel,395099
7,Italy,2001240
116,Jamaica,16458
2,Japan,5081770
88,Jordan,43744
52,Kazakhstan,180162
62,Kenya,95503
176,Kiribati,195
11,"Korea, Rep.",1642380
141,Kosovo,7926
56,Kuwait,134761
139,Kyrgyz Republic,8455
112,Lao PDR,18174
95,Latvia,34117
83,Lebanon,53367
157,Lesotho,2460
155,Liberia,3071
84,Libya,52076
80,Lithuania,54219
69,Luxembourg,71105
81,"Macao SAR, China",53859
123,Madagascar,14084
142,Malawi,7667
34,Malaysia,364702
144,Maldives,5729
114,Mali,17510
120,Malta,14786
184,Marshall Islands,220
143,Mauritania,7594
122,Mauritius,14180
14,Mexico,1258290
182,"Micronesia, Fed. Sts.",381
133,Moldova,11955
124,Mongolia,13853
146,Montenegro,5495
57,Morocco,118725
119,Mozambique,14934
68,Myanmar,76086
132,Namibia,12367
177,Nauru,118
97,Nepal,30641
16,Netherlands,909070
50,New Zealand,206929
131,Nicaragua,12521
128,Niger,12928
25,Nigeria,448120
130,North Macedonia,12695
28,Norway,403336
66,Oman,76983
41,Pakistan,278222
185,Palau,291
72,Panama,66801
101,Papua New Guinea,24970
93,Paraguay,38145
48,Peru,226848
31,Philippines,376796
20,Poland,592164
46,Portugal,237686
60,Puerto Rico,104989
51,Qatar,183466
44,Romania,250077
10,Russian Federation,1699880
137,Rwanda,10122
172,Samoa,851
186,San Marino,1591
175,Sao Tome and Principe,429
17,Saudi Arabia,792967
105,Senegal,23578
85,Serbia,51409
164,Seychelles,1699
152,Sierra Leone,3941
32,Singapore,372063
59,Slovak Republic,105422
82,Slovenia,53742
166,Solomon Islands,1425
187,Somalia,4958
35,South Africa,351432
188,South Sudan,3681
12,Spain,1394120
65,Sri Lanka,84009
170,St. Kitts and Nevis,1051
159,St. Lucia,2122
173,St. Vincent and the Grenadines,825
110,Sudan,18902
151,Suriname,3985
22,Sweden,530833
19,Switzerland,703082
193,Taiwan Province of China,586104
140,Tajikistan,8117
73,Tanzania,63177
21,Thailand,543650
165,Timor-Leste,1674
147,Togo,5460
190,Tonga,488
104,Trinidad and Tobago,24100
90,Tunisia,38798
18,Turkey,754412
189,Turkmenistan,46674
178,Tuvalu,47
94,Uganda,34387
55,Ukraine,153781
27,United Arab Emirates,421142
5,United Kingdom,2827110
0,United States,21427700
79,Uruguay,56046
78,Uzbekistan,57921
171,Vanuatu,917
191,"Venezuela, RB",70140
43,Vietnam,261921
194,World,87751500
192,"Yemen, Rep.",29855
106,Zambia,23065
107,Zimbabwe,21441